,extension,status,join_date
228,GIR,1,2015-11-24 00:00:00
229,Baethelabel,1,2015-11-24 00:00:00
230,sauvageswimwear,1,2015-11-24 00:00:00
231,parkerwool,1,2015-11-24 00:00:00
232,modelco,1,2015-11-25 00:00:00
233,underated,1,2015-11-25 00:00:00
234,Civilianaire,1,2015-11-26 00:00:00
235,pixiemarket,1,2015-11-27 00:00:00
236,hardgraft,1,2015-11-29 00:00:00
237,beachgold,1,2015-11-30 00:00:00
238,wolschwatches,1,2015-11-30 00:00:00
239,fashercise,1,2015-11-30 00:00:00
240,bracelets,1,2015-11-30 00:00:00
241,seletticonceptstore,1,2015-12-01 00:00:00
242,fromthepeloton,1,2015-12-01 00:00:00
243,vuori,1,2015-12-02 00:00:00
244,infinitedefiniteboutique,1,2015-12-03 00:00:00
245,tcellis,1,2015-12-03 00:00:00
246,losarihomeandwoman,1,2015-12-03 00:00:00
247,lessonsconceptstore,1,2015-12-03 00:00:00
248,freevibrationz,1,2015-12-03 00:00:00
249,obeywomens,1,2015-12-04 00:00:00
250,mochibrand,1,2015-12-04 00:00:00
251,inklawclothing,0,2015-12-07 00:00:00
252,catwalkjunkie,1,2015-12-08 00:00:00
253,thelondoner,1,2015-12-09 00:00:00
254,oppermannlondon,1,2015-12-10 00:00:00
255,stylerunner,1,2015-12-10 00:00:00
256,brunacoleccion,1,2015-12-11 00:00:00
257,Laliandlayla,1,2015-12-13 00:00:00
258,believe-e,1,2015-12-13 00:00:00
259,prenatal_nl,1,2015-12-15 00:00:00
260,native-youth,1,2015-12-16 00:00:00
261,MESHKI,1,2015-12-17 00:00:00
262,satisfy,0,2015-12-17 00:00:00
263,kendakistjewelry,1,2015-12-18 00:00:00
264,museumclothing,1,2015-12-21 00:00:00
265,shop-damselfly,0,2015-12-21 00:00:00
266,stateofescape,1,2015-12-22 00:00:00
267,tinypeople,1,2015-12-24 00:00:00
268,shoptboutique,1,2015-12-24 00:00:00
269,KISSKILL,1,2015-12-25 00:00:00
270,billierose,1,2015-12-30 00:00:00
271,truvapelv,1,2015-12-31 00:00:00
272,neffheadwear,1,2015-12-31 00:00:00
273,pasiondemaria,1,2016-01-03 00:00:00
274,alexandreanissa,0,2016-01-03 00:00:00
275,nicemartin,1,2016-01-04 00:00:00
276,shopgreigedesign,1,2016-01-05 00:00:00
277,mjgstore,1,2016-01-07 00:00:00
278,irenesstory,1,2016-01-07 00:00:00
279,lisablueswimau,0,2016-01-07 00:00:00
280,frasiersterling,1,2016-01-11 00:00:00
281,Kultivate,1,2016-01-12 00:00:00
282,wigisfashion,1,2016-01-24 00:00:00
283,spiritualgangster,1,2016-01-25 00:00:00
284,regalrose,1,2016-01-25 00:00:00
285,lucaanddanni,1,2016-01-26 00:00:00
286,Yoobi,1,2016-01-26 00:00:00
287,alohacollection,1,2016-01-26 00:00:00
288,shoe_connection,1,2016-01-27 00:00:00
289,nrfbinsta-shop,1,2016-01-28 00:00:00
290,roka,1,2016-01-28 00:00:00
291,bonnieborland,1,2016-01-28 00:00:00
292,wishwishwish,0,2016-01-28 00:00:00
293,swimco,1,2016-01-28 00:00:00
294,thefifthco,1,2016-01-29 00:00:00
295,danarebecca,1,2016-01-29 00:00:00
296,bradleymountain,1,2016-01-29 00:00:00
297,snkr,1,2016-01-31 00:00:00
298,nataliewaldmandesigns,0,2016-02-02 00:00:00
299,bardot,1,2016-02-02 00:00:00
300,PJSalvage,1,2016-02-02 00:00:00
301,flowwall,1,2016-02-02 00:00:00
302,invarley,1,2016-02-03 00:00:00
303,shopzenger,1,2016-02-03 00:00:00
304,sohogirl,1,2016-02-04 00:00:00
305,humanicshoes,1,2016-02-04 00:00:00
306,coloradothreads,1,2016-02-04 00:00:00
307,featuresneakerboutique,1,2016-02-04 00:00:00
308,sloaneandtate,1,2016-02-05 00:00:00
309,vidasoleil,1,2016-02-05 00:00:00
310,MariaTash,1,2016-02-06 00:00:00
311,bonds,1,2016-02-08 00:00:00
312,calibreshopinstagram,1,2016-02-09 00:00:00
313,rareplayingcards,1,2016-02-09 00:00:00
314,NomadGoods,1,2016-02-09 00:00:00
315,indieandharper,1,2016-02-10 00:00:00
316,sollis,0,2016-02-10 00:00:00
317,byinviteonlystore,1,2016-02-10 00:00:00
318,orianalamarca,1,2016-02-11 00:00:00
319,izzybe,0,2016-02-11 00:00:00
320,wigwamsocks,1,2016-02-11 00:00:00
321,styletribute,1,2016-02-12 00:00:00
322,whistleandflute,1,2016-02-13 00:00:00
323,dyspnea,1,2016-02-14 00:00:00
324,foxers,1,2016-02-15 00:00:00
325,kendamausa,1,2016-02-15 00:00:00
326,hatchedbaby,1,2016-02-15 00:00:00
327,americanrag,1,2016-02-15 00:00:00
328,Tribe-Jewelry,1,2016-02-16 00:00:00
329,carlabikini,1,2016-02-16 00:00:00
330,nordkinder,0,2016-02-16 00:00:00
331,blndn,0,2016-02-16 00:00:00
332,YoHome,1,2016-02-17 00:00:00
333,showmeyourmumu,1,2016-02-18 00:00:00
334,stylecompare,1,2016-02-18 00:00:00
335,VeganScene,1,2016-02-19 00:00:00
336,dropdead,1,2016-02-19 00:00:00
337,the-are,1,2016-02-19 00:00:00
338,reformation,1,2016-02-19 00:00:00
339,unif,1,2016-02-19 00:00:00
340,rebelathletic,1,2016-02-21 00:00:00
341,love-stories-intimates,1,2016-02-22 00:00:00
342,tinystyle,1,2016-02-23 00:00:00
343,ninefiveltd,1,2016-02-23 00:00:00
344,shona-joy,1,2016-02-23 00:00:00
345,batoko,1,2016-02-23 00:00:00
346,social-threads,0,2016-02-23 00:00:00
347,mango-molli-swimwear,1,2016-02-24 00:00:00
348,wanderlust-co,1,2016-02-24 00:00:00
349,holland-cooper,1,2016-02-24 00:00:00
350,brooklinen,1,2016-02-25 00:00:00
351,templestones,1,2016-02-26 00:00:00
352,cara-loren,0,2016-02-26 00:00:00
353,lorna-jane,1,2016-02-26 00:00:00
354,whitecrow,1,2016-02-26 00:00:00
355,kovey,1,2016-02-27 00:00:00
356,24hundred,1,2016-02-29 00:00:00
357,avawilde,1,2016-02-29 00:00:00
358,MyAnabelle,1,2016-02-29 00:00:00
359,melroso,1,2016-02-29 00:00:00
360,get-back-supply-co,1,2016-02-29 00:00:00
361,furbish,1,2016-02-29 00:00:00
362,bec-and-bridge,1,2016-02-29 00:00:00
363,howsty,1,2016-03-01 00:00:00
364,twelve-thirteen-jewelry,1,2016-03-01 00:00:00
365,playful-promises,1,2016-03-01 00:00:00
366,brixton,1,2016-03-01 00:00:00
367,bras-n-things,1,2016-03-02 00:00:00
368,food52,1,2016-03-02 00:00:00
369,madison-square-clothing,1,2016-03-03 00:00:00
370,akid,1,2016-03-03 00:00:00
371,scotch-and-soda,1,2016-03-03 00:00:00
372,the-birdcage-boutique,1,2016-03-04 00:00:00
373,mary-and-me-boutique,1,2016-03-04 00:00:00
374,mosmann_au,1,2016-03-04 00:00:00
375,wornstar,0,2016-03-04 00:00:00
376,talorton,1,2016-03-04 00:00:00
377,swoon-boutique,1,2016-03-04 00:00:00
378,sugar-paper,1,2016-03-04 00:00:00
379,wyliegrey,1,2016-03-05 00:00:00
380,finerrings,1,2016-03-07 00:00:00
381,hbx,0,2016-03-07 00:00:00
382,ironandresin,1,2016-03-08 00:00:00
383,loxleyengland,1,2016-03-08 00:00:00
384,refrisource,1,2016-03-09 00:00:00
385,lipaultparis_au,1,2016-03-10 00:00:00
386,juno,0,2016-03-10 00:00:00
387,vitaly-design,1,2016-03-10 00:00:00
388,zerogravity,0,2016-03-10 00:00:00
389,sterlingforever,1,2016-03-11 00:00:00
390,cocodune,0,2016-03-11 00:00:00
391,maridajewelry,1,2016-03-12 00:00:00
392,slinkii,1,2016-03-13 00:00:00
393,talulah_label,0,2016-03-13 00:00:00
394,nailhur,1,2016-03-14 00:00:00
395,get-salty,0,2016-03-14 00:00:00
396,mandukayoga,1,2016-03-15 00:00:00
397,madisonla,1,2016-03-15 00:00:00
398,aquila,1,2016-03-17 00:00:00
399,olga-berg,1,2016-03-17 00:00:00
400,neon-rose,1,2016-03-17 00:00:00
401,diff,1,2016-03-17 00:00:00
402,solefly,0,2016-03-20 00:00:00
403,ratbagg,1,2016-03-21 00:00:00
404,the-hip-tee,1,2016-03-21 00:00:00
405,mary-grace-swim,1,2016-03-21 00:00:00
406,bruug,1,2016-03-22 00:00:00
407,morrisday-the-label,1,2016-03-23 00:00:00
408,factorie,0,2016-03-23 00:00:00
409,luna-chick,1,2016-03-23 00:00:00
410,black-rooster-decor,0,2016-03-23 00:00:00
411,sugarhigh-lovestoned,1,2016-03-23 00:00:00
412,christie-nicole,1,2016-03-23 00:00:00
413,diamondcandles,1,2016-03-23 00:00:00
414,opus,1,2016-03-23 00:00:00
415,cloth-and-co,1,2016-03-24 00:00:00
416,fabrik,1,2016-03-24 00:00:00
417,distorted-people,1,2016-03-24 00:00:00
418,electricpicks,1,2016-03-24 00:00:00
419,tree-hut,1,2016-03-24 00:00:00
420,zoe-and-morgan,1,2016-03-24 00:00:00
421,inspiration-by-laa,1,2016-03-25 00:00:00
422,mltd,1,2016-03-25 00:00:00
423,knotsisters,1,2016-03-25 00:00:00
424,onedressonelove,1,2016-03-27 00:00:00
425,carpe-diem-jewellery,1,2016-03-28 00:00:00
